scenario	year	period	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
1	24	before	0.977140158023578	0.996858928896193	1.0001541245273	1.00463595324358	1.01558636912616	1.00237268462493	1.03605994087899	1.0821444182906	1.07877575349255	1.00283822138127	1.02880681105275	1.04539314465903	1.00744451912783	1.11752102069798	0.835985721722317	0.850750413576245	0.98391674550615	0.962048034316269	0.934144601482862	0.984863524414838	0.813587307497066
0	25	before	1	1	1	1	1	1	1	1.10814040342324	1.08022891570631	1.00189035916824	1.01740058183226	1.03095735374354	1.00594591971693	1.0893424843965	0.826806588388781	0.712906076243166	1	0.976460312892658	0.958530159722708	0.988711887834707	0.862786099250433
1	25	before	0.973063765844206	1.00312307879436	0.999888151725985	1.00586759732191	1.0219720095242	1.00330490555659	1.04974673626628	1.08295969839663	1.09676730898659	1.00101524247114	1.02677372634333	1.05822142249006	1.0087436732391	1.1403832364651	0.820208260789883	0.67096620370676	0.982986767485822	0.975434306236235	0.960382514535835	0.992946884486932	0.902294440740764
0	26	during	1	1	1	1	1	1	1	1.142037187581	1.10211120735212	1.00378787878788	1.02262798333726	1.02655606206234	1.0045367975898	1.06288524121839	0.817540762383307	0.610930010734222	0.984848484848485	0.956046172203484	0.961777681041673	0.984403506041985	0.811311911240449
1	26	during	0.866311626199471	0.933526288927452	1.00100533739761	0.996798671814314	0.992854473474306	0.995472391735224	0.943802537870595	1.04336426730149	1.07742548905727	1.00378787878788	1.02786772489735	1.03144128021293	1.00386556109071	1.05501066931791	0.507848837934599	0.467858455188768	1	0.95793409862959	0.937180236747852	0.978179195759459	0.768961377076876
0	27	during	1	1	1	1	1	1	1	1.11791581369698	1.09713280342594	1.00283822138127	1.02635211669016	1.03809519936473	1.00531535566463	1.07635159289197	0.830905517321079	0.717435297771863	0.985781990521327	0.957805268811398	0.938648499409513	0.986791897915827	0.836351080814511
1	27	during	0.882448837907261	0.933733837093193	1.00151772749224	0.974367517721786	0.957876158712534	0.982888326111898	0.824342276427408	1.06197964847363	1.05790011594474	1.00473933649289	1.01215745994043	1.02116812433459	1.00015031845046	0.99795216642821	0.536371362926566	0.516385044217122	1	0.895682569581083	0.860165497447339	0.93363953118985	0.534057543501111
0	28	during	1	1	1	1	1	1	1	1.11644755552707	1.10309165451322	1.00664767331434	1.02991784024222	1.03859086738191	1.00653341099205	1.09177183674463	0.721166587178737	0.644548411106169	0.985688904403242	0.952213128409467	0.947327508249317	0.984437537176055	0.82181786732984
1	28	during	0.911494770540686	0.960971033891346	1.00244399257115	0.978435667057617	0.954126623722179	0.983479726360314	0.827879828875631	1.12818796927679	1.11046952549672	1.00664767331434	1.03033141893617	1.02513231098281	1.00142918882552	1.01161489072744	0.542183748023104	0.551716535091561	1	0.918508232887136	0.873300304254456	0.950756295220849	0.600240828542825
0	29	during	1	1	1	1	1	1	1	1.11532625189681	1.09754629471603	1.00283822138127	1.03003242944493	1.03467521109824	1.0055826098667	1.08692979205133	0.819395839076815	0.849622957853693	0.98391674550615	0.966760883806607	0.956905466113891	0.990624208824162	0.880166839954591
1	29	during	0.883666861822145	0.919949494696424	1.00209054294295	0.970450831194144	0.948333615801485	0.981851670284864	0.809447334850661	1.06288890508316	1.04630021457018	1.00378787878788	1.01266105805392	1.01748006652603	0.998152864541956	0.972216927491969	0.536375546631149	0.536419627029003	1	0.914771403085786	0.874066004897061	0.956123840205319	0.617006261834961
0	30	during	1	1	1	1	1	1	1	1.12570686325271	1.10362518137115	1.00664767331434	1.02575649626786	1.03367903764624	1.00548301290969	1.08279933470321	0.809645495992965	0.835290726796214	0.987654320987654	0.967491051370404	0.963895224580605	0.992766651784711	0.898499389419666
1	30	during	0.86980313738835	0.935977482727331	1.00168215472458	0.970362407037523	0.942772801000831	0.980894531136378	0.804359590534367	1.0670622045731	1.04306276329368	1.00664767331434	1.01087612143249	1.01739653486257	1.00041633609821	1.00022994400572	0.542814480078779	0.591059309044434	0.999772497472194	0.903657632578658	0.871206169203034	0.948100169122671	0.580739775912021
0	31	during	1	1	1	1	1	1	1	1.09877704609596	1.08514513093956	1.00283822138127	1.02689269956191	1.03235757061756	1.00596309008835	1.08383088202721	0.864197598226726	0.81153898816105	0.984848484848485	0.932528138844849	0.949257561876504	0.976674459473088	0.743685898603487
1	31	during	0.865578205424786	0.931094490842674	1.00149195663933	0.975319338597031	0.941092902017778	0.982320917324874	0.809924584486229	1.05012875571704	1.06403699220311	1.00378787878788	1.01105297035485	1.00875648779938	0.999125131618325	0.978006002971983	0.553824515562155	0.57258439338449	1	0.914917644350516	0.86458086600001	0.956345859356462	0.618222416823191
0	32	during	1	1	1	1	1	1	1	1.10618436380816	1.08470240107768	1.00569259962049	1.0332256149009	1.02859605981867	1.00696718416392	1.10750053610623	0.844706272292634	0.794387491788027	0.985781990521327	0.945793563962324	0.95797444443097	0.98676693310521	0.833765898454913
