PFT	scenario	year	period	mean.effects.Inds	mean.effects.seedlings	mean.effects.seeds	mean.effects.cover	mean.effects.shootmass	min.effects.Inds	min.effects.seedlings	min.effects.seeds	min.effects.cover	min.effects.shootmass	max.effects.Inds	max.effects.seedlings	max.effects.seeds	max.effects.cover	max.effects.shootmass
MECIcl4plb	1	26	during	1.16748270796177	1.31369330111836	1.53984117461881	1.00084895323482	1.28893006573514	4.1025641025641	3.05505401234568	5.37363560033585	1.01140055973601	6.25213484853109	0.15625	0.0210084033613445	0.0223901483347327	0.995952371261418	0.000438678358614733
MECIcl4plb	0	27	during	1	1	1	1	1	2.7291492910759	1.87253193960511	1.96891191709845	1.00493456797692	3.29361536459338	0.124223602484472	0.0373482726423903	0.0105680317040951	0.995511772972202	0.000386460786896382
MECIcl4plb	1	27	during	1.18325561008797	1.19256767771444	1.11936734564626	1.001371408155	1.42051469405592	4.44640522875817	3.1124716553288	4.7520355292376	1.01440819602786	6.39298183866425	0.124223602484472	0.0186416877784997	0.0205338809034908	0.995449511260241	0.000386460786896382
MECIcl4plb	0	28	during	1	1	1	1	1	2.65787540405524	1.7886763502455	4.62380300957592	1.00721628642685	3.12472625522577	0.0975609756097561	0.0180995475113122	0.0109389243391067	0.993577243735982	0.000299244680989385
MECIcl4plb	1	28	during	1.32196020803539	1.20060199901115	1.33000891460844	1.00175189327915	1.49802756958237	5.06444382179882	3.72610382338826	4.5827633378933	1.01730933554358	6.47164686135994	0.0975609756097561	0.0180995475113122	0.0113329068552949	0.993577243735982	0.000299244680989385
MECIcl4plb	0	29	during	1	1	1	1	1	2.7185746352413	1.68933390447633	2.3960396039604	1.00998351639936	4.58334838363997	0.0980392156862745	0.0224340998317442	0.0117976699601829	0.993541366409329	0.000287215949420655
MECIcl4plb	1	29	during	1.58708306843507	1.45931434581816	1.4279646813705	1.00313564275915	1.78951490445955	5.48407534246575	4.72846070656092	5.77227722772277	1.02373671840091	7.42042323227239	0.0980392156862745	0.0261096605744125	0.0147470874502286	0.993603859046025	0.000279872788861533
MECIcl4plb	0	30	during	1	1	1	1	1	4.05439244663383	1.9047619047619	6.32486823191184	1.01172900518676	5.58904932697905	0.103092783505155	0.0255918106206014	0.0102648993201543	0.994155602759616	0.000249277686742951
MECIcl4plb	1	30	during	2.21998292229306	1.83006315814962	1.88764110855693	1.00606050412664	2.7789388782261	11.8187747035573	4.34847180370211	6.08528988979396	1.04820745735199	16.493518048349	0.103092783505155	0.0254693459293233	0.0174825174825175	0.994155602759616	0.000246882942378558
MECIcl4plb	0	31	during	1	1	1	1	1	4.86356008055494	1.82467532467533	5.10089686098655	1.01441937257741	6.14066766643522	0.106382978723404	0.0250808410688718	0.0118308936358022	0.994136796771091	0.000255051381934682
MECIcl4plb	1	31	during	2.55918966163147	2.10016338362026	2.74645983800148	1.00809267766717	3.21518782420987	15.3960584869676	5.40695067264575	14.0022421524664	1.05924629732214	20.813611841453	0.106382978723404	0.0252206809583859	0.0182611342193365	0.994169182854992	0.000240932052390771
MECIcl4plb	0	32	during	1	1	1	1	1	3.91254813863928	2.2013742373268	4.65022647206845	1.0132306639573	5.06844139649105	0.0930232558139535	0.0202429149797571	0.0110273846719353	0.993495567219687	0.000233774698426379
