Time	scenario	period	year	week	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
244	1	before	9	4	1.02642432205555	0.993103852018243	1	1.00260492568016	1.00221976073544	1.00046421538682	1.00620776493907	1.13872769079163	1.05280341701712	1	1.02029975748662	1.02815735193467	1.00496106762927	1.08424494287393	0.863900142340961	0.488603942320273	1	0.971005251068824	0.956096411881659	0.991809209152165	0.879162360717096
244	2	before	9	4	1.0282857038578	1.01251875925889	1	1.00015909143764	1.0056258926135	1.00067057881811	1.0122337850859	1.11792401182525	1.05186380756096	1	1.01602197672905	1.0489936264588	1.00695044217949	1.124983381938	0.896748056498412	0.700973242205852	1	0.966697843700073	0.949167482439354	0.988109052125928	0.835938176244356
245	0	before	9	5	1	1	1	0.999999999999998	0.999999999999997	1.00000000000001	1	1.08151388509159	1.03802823175752	1	1.02424218901166	1.03124710626294	1.00506241273945	1.09099878845276	0.883490215990314	0.813746652403645	1	0.979378351870288	0.954563400840454	0.990680549876429	0.86062149336387
245	1	before	9	5	1.02136468382611	0.999296954142919	1	1.00254215053674	1.00067974257885	1.00002600854544	0.999925163636203	1.1377572940671	1.0537235338121	1	1.02015399100646	1.03385607003038	1.00379664150267	1.0653284221916	0.887005429051283	0.66460396684021	1	0.96581040377544	0.950575927124645	0.990738215970586	0.861333030817125
245	2	before	9	5	1.02753583564426	1.01154633640328	1	1.00063866630374	1.0044603348199	1.00032619141428	1.00741954495684	1.11900949107526	1.0736207960872	1	1.01887119969199	1.04678104774381	1.00682293666109	1.12903806494796	0.891692379799242	0.836006107103413	1	0.961609980950858	0.943827276600854	0.987507624441375	0.823399414893622
246	0	before	9	6	1	1	1	1	1	1	0.999999999999999	1.10894829147956	1.05519704487152	1	1.02212658216351	1.02885242055638	1.00578745551367	1.09671721417483	0.707113535182223	0.482755007940715	1	0.960241637150916	0.948295533692807	0.988733942675555	0.847650470721615
246	1	before	9	6	1.01547593809625	1.02490107675379	1	1.00620160396387	1.00023050826339	1.00037699379807	1.00534615591978	1.09102472681018	1.07748567887839	1	1.02646514147728	1.03529533684319	1.00444770179359	1.07131845872668	0.764353306223139	0.806185701042545	1	0.982808375492152	0.945978554962256	0.989128183833029	0.851998666714602
246	2	before	9	6	1.01491703124097	1.03115003150583	1	1.00335213200188	1.00507427702736	1.00075828923066	1.01448614787549	1.09796288087575	1.07872009438265	1	1.02771304580218	1.04209504844079	1.00758118723319	1.13287103316342	0.929712644785785	0.931845395854923	1	0.953457786418655	0.932826702800998	0.983951875568492	0.798636337772874
247	0	before	9	7	1	1	1	0.999999999999997	1	0.999999999999998	1	1.07848227451143	1.0631761233008	1	1.02594359663463	1.03240059077094	1.00510500980825	1.08452290007261	0.761354904363357	0.488379887683013	1	0.959176182258223	0.951510649508695	0.989135137456181	0.851156549471536
247	1	before	9	7	1.02272019272705	1.04160587339521	1	1.00198813762033	1.00177049670641	1.00057370119186	1.00879500528958	1.09904259516936	1.08188980226694	1	1.02320273451899	1.02971965717394	1.00555899381505	1.0932855945525	0.798114265539657	0.900992069380267	1	0.957583158485073	0.95491412797247	0.990770361775859	0.869860007745691
247	2	before	9	7	1.00768416024589	1.04060042047588	1	1.0027907406122	1.00601653952551	1.00090575433499	1.01661045953956	1.08720483479055	1.08716873558724	1	1.02426166569676	1.04424742598501	1.00735781596169	1.12958984809472	0.894062428609998	0.974431039569306	1	0.96092184066252	0.937888100426764	0.98526483090989	0.810298181542833
248	0	before	9	8	1	1	1	1	1	1	1	1.09032243608416	1.07700204681648	1	1.02457593708653	1.03217264803024	1.00529312941749	1.08953796140439	0.746151605458334	0.467512300101132	1	0.957128091280696	0.953562300234755	0.989912998887288	0.858426689364473
248	1	before	9	8	1.02343767505434	1.04696488455661	1	0.99925153155324	1.00088485172808	1.00028408893883	1.00454137649296	1.09704452261982	1.10483996000245	1	1.02516854550188	1.03450314871244	1.00532574452744	1.09017694227406	0.786484124672298	0.934992596469917	1	0.958392376802561	0.946225116778378	0.989273233752974	0.851119125064992
248	2	before	9	8	1.0040332519214	1.04656940139745	1	1.00083402362025	1.00511297825037	1.00058418359627	1.01178471559418	1.07822268031997	1.09998783858171	1	1.0188336739918	1.04096251991035	1.00649288492504	1.11359650385404	0.906137265007058	0.981177538216012	1	0.964067256167995	0.930324961213396	0.984054658264435	0.796360851226873
249	0	before	9	9	1	1	1	1	1	1	1.00000000000001	1.08441523460648	1.06812094014519	1	1.02231392861317	1.031443689567	1.00554970860459	1.09671375469414	0.780585034746539	0.622236520136303	1	0.952959596970939	0.954610650619837	0.990731378220639	0.866151443550618
249	1	before	9	9	1.01686149868017	1.01680205379953	1	1.00109760643304	1.00035533665273	1.00023575549114	1.0042554477676	1.08118299843775	1.07371961998983	1	1.0253200892029	1.03024299030981	1.00537979584967	1.0932920809337	0.800786510801056	0.498877918467488	1	0.969408463990674	0.943386184247882	0.989039329464131	0.846398360245369
249	2	before	9	9	0.998330011312827	1.02806881811381	1	1.00222259777284	1.00441816195332	1.00052349364358	1.01132162596969	1.10219253353445	1.06779616980293	1	1.02478413411745	1.03780135879411	1.00610858074593	1.108135442015	0.881592415019124	0.961621527799078	1	0.973022720493546	0.925733128539032	0.984192296264993	0.795027638890194
250	0	before	9	10	1	1	1	1	1	0.999999999999997	1	1.094911287517	1.06031184249963	1	1.02142093074366	1.03385533839526	1.00521905154248	1.09125216519137	0.794142762263196	0.751725623931038	1	0.962662115288568	0.956219439297329	0.99129729231875	0.871186677847781
250	1	before	9	10	1.00493374237009	1.0127298781588	1	1.00169051469178	1.00221410905695	1.00053400801016	1.00854543048424	1.07688415193396	1.06767249156386	1	1.02216083549692	1.03268819961431	1.00482400512379	1.08330500258714	0.801733135140264	0.656262721304093	1	0.966501305122244	0.948789606285041	0.990006195086326	0.855596617354341
250	2	before	9	10	0.99310541130333	1.01677913604234	1	1.00191852888026	1.00482143791875	1.00061135632882	1.01286243700688	1.09016730446883	1.06689709779058	1	1.02282404226973	1.03977459979986	1.0059365654762	1.10601752448988	0.88332964356874	0.942349472955905	1	0.967656629628065	0.927011425234075	0.984920995452001	0.79982478048629
251	0	before	9	11	1	1	1	1	0.999999999999993	1.00000000000001	0.999999999999994	1.08637545311413	1.05452583580205	1	1.01904637398558	1.03407549779963	1.00495767590292	1.08642013897269	0.793087034528212	0.850553897105305	1	0.970630339571665	0.957780011386753	0.991615370624367	0.873942518464613
251	1	before	9	11	1.00882428325583	1.01448618466704	1	1.00137510833546	1.00366926378947	1.0007192823245	1.01159017563389	1.12482150049431	1.06914930439884	1	1.01979382498495	1.02980448883422	1.00553221764582	1.09819559821336	0.807366994983706	0.776163167670675	1	0.971841061559976	0.951688859335995	0.990699069700738	0.862635924540496
251	2	before	9	11	0.995276628464721	1.00901751312631	1	1.00057495855779	1.00577400779365	1.00061744117263	1.01318811672323	1.08088316063125	1.07797525704173	1	1.02800982138926	1.04302005439866	1.00661089441371	1.12107434950007	0.864486836805683	0.912189311419039	1	0.961374717489348	0.926365156699768	0.984995882231035	0.799010486685356
252	0	before	9	12	1	1	1	1.00000000000001	1	1	0.999999999999995	1.09654052703884	1.0767490404066	1	1.01320920334706	1.03741323394962	1.0056172395638	1.09976764295846	0.829274384913201	0.49482680402093	1	0.970162003915079	0.950935657227232	0.990868989256079	0.863759115766085
252	1	before	9	12	1.00678572915366	1.0324773965469	1	1.00203053430332	1.00316642835743	1.00069627367428	1.01067071503638	1.11277632071937	1.08575956273623	1	1.02808641072387	1.03352912300618	1.00570138755074	1.10152918971251	0.821780941676033	0.873830066826993	1	0.964930727480003	0.949577728013059	0.99037251164221	0.857722810730983
252	2	before	9	12	0.988634944423629	1.02088952691895	1	0.999428646586945	1.00722983307101	1.00086737524928	1.01727912115465	1.08030473335831	1.08281889017677	1	1.02427946780374	1.04947738763262	1.00692173290081	1.12778619560508	0.855501436243287	0.894643074820847	1	0.956263351776146	0.927103489493414	0.984952047094812	0.797480600471962
