Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
260	MECIcl4p	12	15	30	0	8	0	0	3	0	0	1	0	0	1	0	0	2	0	30
0	MECIcl4p	13	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	13	0	30	0	5	0	0	15	0	0	8	0	0	2	0	0	0	0	30
260	MECIcl4p	13	25	30	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	30
0	MECIcl4p	14	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	14	3	30	0	10	0	0	13	0	0	4	0	0	0	0	0	0	0	30
260	MECIcl4p	14	22	30	0	2	0	0	3	0	0	1	0	0	0	0	0	2	0	30
0	MECIcl4p	15	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	15	0	30	0	1	0	0	19	0	0	9	0	0	1	0	0	0	0	30
260	MECIcl4p	15	15	30	0	7	0	0	2	0	0	3	0	0	0	0	0	3	0	30
0	MECIcl4p	16	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	16	0	30	0	3	0	0	25	0	0	1	0	0	1	0	0	0	0	30
260	MECIcl4p	16	18	30	0	4	0	0	3	0	0	2	0	0	1	0	0	2	0	30
0	MECIcl4p	17	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	17	4	30	0	7	0	0	16	0	0	2	0	0	1	0	0	0	0	30
260	MECIcl4p	17	25	30	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	30
0	MECIcl4p	18	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	18	0	30	0	5	0	0	22	0	0	3	0	0	0	0	0	0	0	30
260	MECIcl4p	18	27	30	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	30
0	MECIcl4p	19	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	19	0	30	0	8	0	0	13	0	0	7	0	0	1	0	0	1	0	30
260	MECIcl4p	19	27	30	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	30
0	MECIcl4p	20	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	20	0	30	0	0	0	0	6	0	0	19	0	0	4	0	0	1	0	30
260	MECIcl4p	20	8	30	0	17	0	0	2	0	0	1	0	0	0	0	0	2	0	30
0	MECIcl4p	21	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	21	0	30	0	0	0	0	8	0	0	14	0	0	8	0	0	0	0	30
260	MECIcl4p	21	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	22	0	30	0	1	0	0	1	0	0	11	0	0	15	0	0	2	0	30
260	MECIcl4p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl4p	23	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	23	0	30	0	0	0	0	3	0	0	8	0	0	6	0	0	13	0	30
